epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,6.312228912353516,6.312228912353516,6.524356842041016,6.524356842041016
1,5.624587144851684,5.624587144851684,6.335205654144287,6.335205654144287
2,5.164937467575073,5.164937467575073,5.68945499420166,5.68945499420166
3,4.875978979110718,4.875978979110718,5.155933353424072,5.155933353424072
4,4.733584791183472,4.733584791183472,4.944669082641601,4.944669082641601
5,4.572014032363891,4.572014032363891,4.910792961120605,4.910792961120605
6,4.483099306106568,4.483099306106568,4.7589996032714845,4.7589996032714845
7,4.463986652374268,4.463986652374268,4.451864686965942,4.451864686965942
8,4.3673373851776125,4.3673373851776125,4.506543071746826,4.506543071746826
9,4.3122343235015865,4.3122343235015865,4.489904323577881,4.489904323577881
10,4.306359580993652,4.306359580993652,4.538712146759033,4.538712146759033
11,4.299354597091675,4.299354597091675,4.585107242584228,4.585107242584228
12,4.27292911529541,4.27292911529541,4.406325954437256,4.406325954437256
13,4.225382595062256,4.225382595062256,4.2784940605163575,4.2784940605163575
14,4.2404743003845216,4.2404743003845216,4.349128890991211,4.349128890991211
15,4.216297826766968,4.216297826766968,4.493573513031006,4.493573513031006
16,4.187120609283447,4.187120609283447,4.438681613922119,4.438681613922119
17,4.175153980255127,4.175153980255127,4.499571563720703,4.499571563720703
18,4.185354873657227,4.185354873657227,4.505326982498169,4.505326982498169
19,4.180807348251343,4.180807348251343,4.374576019287109,4.374576019287109
20,4.142845495223999,4.142845495223999,4.324564769744873,4.324564769744873
21,4.130092929840088,4.130092929840088,4.314314300537109,4.314314300537109
22,4.098120195388794,4.098120195388794,4.404330076217652,4.404330076217652
23,4.108213718414307,4.108213718414307,4.26841388130188,4.26841388130188
24,4.097578119277954,4.097578119277954,4.183673355102539,4.183673355102539
25,4.103738296508789,4.103738296508789,4.329969234466553,4.329969234466553
26,4.101740280151367,4.101740280151367,4.335558698654175,4.335558698654175
27,4.095811374664307,4.095811374664307,4.433695756912232,4.433695756912232
28,4.085995370864868,4.085995370864868,4.369004245758057,4.369004245758057
29,4.0754064960479734,4.0754064960479734,4.26886049079895,4.26886049079895
30,4.046101005554199,4.046101005554199,4.240286165237427,4.240286165237427
31,4.043583822250366,4.043583822250366,4.348116580963135,4.348116580963135
32,4.071304248809814,4.071304248809814,4.3245619163513185,4.3245619163513185
33,4.055842155456543,4.055842155456543,4.485557197570801,4.485557197570801
34,4.0414904117584225,4.0414904117584225,4.2878725090026855,4.2878725090026855
